timestamp	step	epoch
1649105154018	0	0
1649105154432	1	1
1649105158943	2	1
1649105158950	3	2
1649105163229	4	2
1649105163235	5	3
1649105167575	6	3
1649105167781	7	4
1649105172087	8	4
1649105172092	9	5
1649105176269	10	5
1649105176277	11	6
1649105180587	12	6
1649105180592	13	7
1649105184871	14	7
1649105184879	15	8
1649105189144	16	8
1649105189150	17	9
1649105193490	18	9
1649105193496	19	10
1649105197801	20	10
1649105197806	21	11
1649105202082	22	11
1649105202088	23	12
1649105206374	24	12
1649105206380	25	13
1649105210673	26	13
1649105210680	27	14
